xdg-desktop-portal-kde 6.3.4-1.1
xdg-user-dirs 0.18-2.1
xf86-input-libinput 1.5.0-1.1
xf86-video-amdgpu 23.0.0-2.1
xfsprogs 6.14.0-1
xl2tpd 1.3.19-1.1
xorg-server 21.1.16-1.1
xorg-xdpyinfo 1.3.4-2.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.6-2.1
xorg-xrandr 1.5.3-1.1
xsettingsd 1.0.2-3.1
yq 3.4.3-2
zen-browser-bin 1.11.5b-1
zoom 6.4.6-1
